# Tiempo [s],Tensión [V],Desplazamiento [mm]
1.482628773259955146e+01,8.018446208012845133e+00,8.739836590548435424e+00
1.485680415412936384e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.488732057565917621e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.491783699718898859e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.494835341871880097e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.497886984024861334e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.500938626177842572e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.503990268330823810e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.507041910483805047e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.510093552636786285e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.513145194789767523e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.516196836942748583e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.519248479095729820e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.522300121248711058e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.525351763401692295e+01,8.018446208012845133e+00,8.765699156471558950e+00
1.528403405554673533e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.531455047707654771e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.534506689860636008e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.537558332013617246e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.540609974166598484e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.543661616319579721e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.546713258472560959e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.549764900625542197e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.552816542778523434e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.555868184931504672e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.558919827084485910e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.561971469237467147e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.565023111390448385e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.568074753543429445e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.571126395696410682e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.574178037849391920e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.577229680002373158e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.580281322155354395e+01,8.018446208012845133e+00,8.775491149921251122e+00
1.583332964308335633e+01,8.018446208012845133e+00,8.761064650875653115e+00
1.586384606461316871e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.589436248614298108e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.592487890767279346e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.595539532920260584e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.598591175073241821e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.601642817226223059e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.604694459379204119e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.607746101532185534e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.610797743685166949e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.613849385838148009e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.616901027991129070e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.619952670144110130e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.623004312297091545e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.626055954450072960e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.629107596603054020e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.632159238756035080e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.635210880909016495e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.638262523061997911e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.641314165214978971e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.644365807367960031e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.647417449520941446e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.650469091673922861e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.653520733826903921e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.656572375979884981e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.659624018132866397e+01,8.018446208012845133e+00,8.747612420214043283e+00
1.662675660285847812e+01,8.018446208012845133e+00,8.747612420214043283e+00
